n,k,m,naive_version_time,matrix_version_time,iterations_count
1,676,150,4.7676239013671875,0.01801776885986328,10
2,676,150,4.769074201583862,0.015012025833129883,10
3,676,150,4.946204900741577,0.022019386291503906,10
4,676,150,4.856281995773315,0.021022319793701172,10
5,676,150,4.766377210617065,0.022020816802978516,10
6,676,150,4.924515962600708,0.0250244140625,10
7,676,150,4.8151326179504395,0.027026891708374023,10
8,676,150,4.854886531829834,0.02402472496032715,10
9,676,150,4.835525989532471,0.022022247314453125,10
10,676,150,4.835689544677734,0.02402663230895996,10
11,676,150,4.798412799835205,0.027025938034057617,10
12,676,150,4.845681428909302,0.02602410316467285,10
13,676,150,4.811375617980957,0.026026010513305664,10
14,676,150,4.960132122039795,0.028025150299072266,10
15,676,150,4.904299259185791,0.02902817726135254,10
16,676,150,4.860832929611206,0.028029918670654297,10
17,676,150,4.964702367782593,0.029024600982666016,10
18,676,150,4.906171560287476,0.029026269912719727,10
19,676,150,4.935531377792358,0.026026010513305664,10
20,676,150,4.846037864685059,0.028032779693603516,10
21,676,150,5.017359733581543,0.024013280868530273,10
22,676,150,4.899407625198364,0.027025938034057617,10
23,676,150,4.929306507110596,0.0260164737701416,10
24,676,150,4.856341123580933,0.02802729606628418,10
25,676,150,4.958389520645142,0.028026342391967773,10
26,676,150,4.9226696491241455,0.027026891708374023,10
27,676,150,4.960293769836426,0.03002786636352539,10
28,676,150,4.905926704406738,0.028028249740600586,10
29,676,150,4.929975509643555,0.02602410316467285,10
30,676,150,4.978902816772461,0.025023937225341797,10
31,676,150,5.04926061630249,0.029029130935668945,10
32,676,150,4.924724817276001,0.028028011322021484,10
33,676,150,4.992813348770142,0.027029991149902344,10
34,676,150,5.075631141662598,0.029026508331298828,10
35,676,150,5.125007152557373,0.031029701232910156,10
36,676,150,4.9818761348724365,0.028030872344970703,10
37,676,150,5.087476491928101,0.029027462005615234,10
38,676,150,5.072137832641602,0.030029296875,10
39,676,150,5.095354318618774,0.02802562713623047,10
40,676,150,5.005087614059448,0.0320281982421875,10
41,676,150,5.121165752410889,0.030028343200683594,10
42,676,150,5.1228978633880615,0.031029939651489258,10
43,676,150,5.1952314376831055,0.030031204223632812,10
44,676,150,5.089438438415527,0.029031991958618164,10
45,676,150,5.144256353378296,0.027024269104003906,10
46,676,150,5.171099662780762,0.02902817726135254,10
47,676,150,5.320381164550781,0.027025222778320312,10
48,676,150,5.12797474861145,0.028026580810546875,10
49,676,150,5.2351295948028564,0.03203082084655762,10
50,676,150,5.227344036102295,0.02803945541381836,10
51,676,150,5.240746974945068,0.034010887145996094,10
52,676,150,5.200207233428955,0.029025554656982422,10
53,676,150,5.270514249801636,0.028025150299072266,10
54,676,150,5.272083520889282,0.027028322219848633,10
55,676,150,5.3551812171936035,0.029027938842773438,10
56,676,150,5.238590240478516,0.03103041648864746,10
57,676,150,5.326298713684082,0.028029918670654297,10
58,676,150,5.3921403884887695,0.03303360939025879,10
59,676,150,5.488451242446899,0.031046390533447266,10
60,676,150,5.345868825912476,0.031028032302856445,10
61,676,150,5.404069185256958,0.032029151916503906,10
62,676,150,5.381814479827881,0.030031681060791016,10
63,676,150,5.42939305305481,0.0325469970703125,10
64,676,150,5.437289237976074,0.03203225135803223,10
65,676,150,5.429098606109619,0.03303050994873047,10
66,676,150,5.453615188598633,0.03202629089355469,10
67,676,150,5.534676551818848,0.031030893325805664,10
68,676,150,5.354406356811523,0.03102874755859375,10
69,676,150,5.461889982223511,0.031030654907226562,10
70,676,150,5.487668037414551,0.02902984619140625,10
71,676,150,5.623057842254639,0.03203129768371582,10
72,676,150,5.556569814682007,0.029027938842773438,10
73,676,150,5.5192484855651855,0.032029151916503906,10
74,676,150,5.5482847690582275,0.031031131744384766,10
75,676,150,5.634222507476807,0.03102850914001465,10
76,676,150,5.521769762039185,0.03303027153015137,10
77,676,150,5.577145099639893,0.03403496742248535,10
78,676,150,5.672191381454468,0.03203153610229492,10
79,676,150,5.646158218383789,0.03303027153015137,10
80,676,150,5.4805567264556885,0.03603649139404297,10
81,676,150,5.667529582977295,0.0350337028503418,10
82,676,150,5.722670555114746,0.03703451156616211,10
83,676,150,5.919846534729004,0.03803396224975586,10
84,676,150,5.63935661315918,0.03803586959838867,10
85,676,150,5.712829113006592,0.035033464431762695,10
86,676,150,5.717782258987427,0.03503084182739258,10
87,676,150,5.776594638824463,0.03603339195251465,10
88,676,150,5.699321985244751,0.03603506088256836,10
89,676,150,5.804300546646118,0.03603219985961914,10
90,676,150,5.874222278594971,0.036036014556884766,10
91,676,150,5.8901238441467285,0.038039207458496094,10
92,676,150,5.8101537227630615,0.04704451560974121,10
93,676,150,5.90637469291687,0.03903460502624512,10
94,676,150,6.029483795166016,0.03703498840332031,10
95,676,150,6.020478010177612,0.036034584045410156,10
96,676,150,5.780259609222412,0.04003763198852539,10
97,676,150,5.927390098571777,0.03903818130493164,10
98,676,150,5.930421352386475,0.040009498596191406,10
99,676,150,6.079050540924072,0.04003787040710449,10
100,676,150,5.968235492706299,0.041039466857910156,10
101,676,150,6.089807033538818,0.04103803634643555,10
102,676,150,6.182623863220215,0.044042110443115234,10
103,676,150,6.3494226932525635,0.04103374481201172,10
104,676,150,6.24407172203064,0.039038896560668945,10
105,676,150,6.34341025352478,0.038034915924072266,10
106,676,150,6.347651243209839,0.0400395393371582,10
107,676,150,6.401688814163208,0.038036346435546875,10
108,676,150,6.313768625259399,0.037032365798950195,10
109,676,150,6.416238069534302,0.04002857208251953,10
110,676,150,6.449029207229614,0.04003715515136719,10
111,676,150,6.557397365570068,0.041040658950805664,10
112,676,150,6.30124568939209,0.03903365135192871,10
113,676,150,6.523362874984741,0.03603768348693848,10
114,676,150,6.470354795455933,0.03803658485412598,10
115,676,150,6.632642984390259,0.03903913497924805,10
116,676,150,6.368845224380493,0.03903841972351074,10
117,676,150,6.632235288619995,0.04103994369506836,10
118,676,150,6.631304502487183,0.04003477096557617,10
119,676,150,6.689899444580078,0.04003572463989258,10
120,676,150,6.491942882537842,0.03503084182739258,10
121,676,150,6.691619634628296,0.04103899002075195,10
122,676,150,6.648736000061035,0.03803443908691406,10
123,676,150,6.802037715911865,0.04104018211364746,10
124,676,150,6.585965871810913,0.040224313735961914,10
125,676,150,6.802324056625366,0.04204058647155762,10
126,676,150,6.762479543685913,0.04203653335571289,10
127,676,150,6.8593220710754395,0.043042659759521484,10
128,676,150,6.921020984649658,0.03903603553771973,10
129,676,150,7.204570293426514,0.04504275321960449,10
130,676,150,7.2205939292907715,0.04303932189941406,10
131,676,150,7.314976692199707,0.04103970527648926,10
132,676,150,7.088648319244385,0.0450439453125,10
133,676,150,7.322260618209839,0.047042131423950195,10
134,676,150,7.33672833442688,0.04354143142700195,10
135,676,150,7.42277979850769,0.04503798484802246,10
136,676,150,7.20403265953064,0.047220706939697266,10
